Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
81,23,2,RU,Psychology,1,16,68,5,3,0,2,4,3,4,2,4,3,2,3,5,3,5,3,2,4,4,1,4,4,4,4,2,2,3,2,2,3,4,4,4,3,3,3,3,2,3,4,3,4,4,2,4,4,2,4,3,3,3,3,1,3,3,1,3,2,2,2,3,3,3,3,3,3,4,2,4,3.45
82,22,2,RU,Psychology,1,16,68,5,3,0,2,4,4,4,3,3,4,2,3,4,3,4,4,4,4,4,5,4,4,4,4,5,3,5,4,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,3,3,5,5,5,4,3,4,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3.5
83,22,2,RU,Psychology,1,16,68,5,3,0,2,3,5,3,4,4,3,5,4,3,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,5,4,2,2,2,2,2,3,3,3,3,1,1,1,3,3,3,3,4,4,3,3,3,3,4,4,3.6
84,23,2,RU,Psychology,1,16,68,5,3,0,2,4,4,3,3,4,2,4,4,4,3,4,4,1,4,2,4,2,4,3,4,3,3,3,3,2,5,4,4,4,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,5,5,5,3,3,4,5,5,5,4,5,5,4,3,4,4,4,4,3,3,3,3.32
85,24,2,RU,Psychology,1,16,68,5,3,0,2,2,3,3,5,4,4,5,4,5,2,4,5,5,4,4,5,4,4,3,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,5,4,4,5,4,3,5,4,4,5,5,4,3,3,3,4,4,4,5,4,5,3.5
86,23,1,RU,Psychology,1,16,68,5,3,0,2,4,4,3,4,4,2,3,5,4,3,3,2,3,4,3,4,5,4,4,4,3,3,5,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,5,5,3,4,4,5,3,3,4,3,5,5,4,3,4,5,5,5,4,4,3,3,3.53
87,23,1,RU,Psychology,1,16,68,5,3,0,2,4,4,3,2,4,4,4,4,4,4,4,3,3,3,4,4,4,5,5,5,3,3,3,4,4,4,5,3,5,5,5,5,4,3,4,5,5,5,5,5,5,5,4,5,5,5,5,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,3.67
88,22,2,RU,Psychology,1,16,68,5,3,0,2,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,3.11
89,21,2,RU,Psychology,1,16,68,5,3,0,2,4,4,5,4,3,5,5,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,2,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3.87
90,24,2,RU,Psychology,1,16,68,5,3,0,2,4,4,3,2,3,2,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,3,3,5,1,1,1,1,1,3,4,3,3,2,3,4,4,5,4,4,4,3,3,3,4,3,4,3,3,3,3,4,3,3,4,3,2,2,3,3,4,3,4,4,4,3.13
91,23,2,RU,Social Work,1,18,100,5,3,0,2,5,4,5,5,5,5,5,5,5,3,4,5,3,5,5,4,5,5,5,5,4,3,4,5,4,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,2,3,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,4,3,4,3.45
92,23,2,RU,Social Work,1,18,100,5,3,0,2,5,4,5,2,5,5,2,5,5,3,5,4,2,4,5,5,5,4,2,4,4,1,4,4,1,4,5,1,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,2,4,5,5,5,3,1,2,3.38
93,23,2,RU,Social Work,1,18,100,5,3,0,2,4,4,4,3,4,5,4,5,5,1,5,5,5,5,4,2,5,5,4,5,3,1,2,4,2,3,5,2,4,5,2,4,4,3,4,5,5,5,5,3,5,4,3,4,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,2,1,2,3.18
94,23,1,RU,CSE,1,20,50,4,"4,1",1,5,4,4,5,4,5,5,3,5,5,2,5,5,5,5,4,4,4,4,4,4,4,2,2,4,2,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,3,2,3,4,3,4,2,1,2,4,4,4,4,4,4,4,3,4,2,1,2,1,1,1,3
95,23,1,RU,CSE,1,26,50,4,"4,1",2,6,2,1,5,4,5,5,2,5,5,2,5,4,3,4,3,1,3,4,3,4,4,3,2,4,2,1,4,2,4,3,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
96,23,1,RU,IER,1,10,53,6,"4,1",1,5,4,3,4,2,3,4,2,2,5,5,5,4,4,4,4,2,3,4,4,4,4,2,3,5,2,2,4,3,3,4,4,4,3,3,3,4,3,4,4,2,2,4,2,4,4,3,3,4,3,4,4,3,4,4,3,4,4,2,3,3,3,3,4,3,4,3.18
97,23,1,RU,M Studies,1,25,115,5,"3,1",0,3,4,3,4,4,2,4,3,2,5,4,5,4,4,2,4,2,3,4,2,2,3,2,3,5,1,2,4,1,2,4,4,3,4,3,3,4,4,3,4,3,1,4,2,2,3,2,2,4,2,3,4,5,4,5,5,4,5,2,2,4,4,3,3,2,2,3
98,24,1,RUET,CE,1,27,120,5,3,2,3,4,3,5,3,4,5,2,4,5,3,5,5,4,4,5,4,5,3,2,3,3,1,4,4,4,4,4,3,4,3,3,3,3,2,3,4,3,4,4,2,4,4,3,4,2,1,2,3,1,3,2,1,2,1,1,1,3,1,3,2,2,2,3,2,3,2.99
99,24,1,RUET,CE,1,27,120,5,3,1,4,3,2,5,3,5,5,2,5,4,5,4,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,4,2,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,2,2,2,4,4,4,4,4,4,3,3,3,2.32
100,21,1,RUET,ME,1,30,180,5,"2,1",0,2,4,3,5,3,4,5,3,4,5,4,5,5,3,5,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,4,5,4,5,5,4,5,5,4,5,5,4,5,3,4,3,3,3,3,5,5,5,5,5,5,5,4,5,3.2
101,23,1,RUET,ME,1,30,180,5,"2,1",0,2,3,1,4,4,4,4,3,4,4,3,4,3,2,3,3,2,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,2,1,1,1,4,2,4,3,2,3,3,3,3,3.15
102,22,1,RUET,CE,1,30,180,5,"2,1",0,2,4,5,5,3,5,5,2,5,5,5,5,4,2,4,4,3,4,3,2,3,2,1,2,5,3,5,4,2,5,4,3,4,3,2,3,5,3,5,3,3,3,3,3,3,2,1,2,4,2,4,3,2,3,2,1,2,3,2,3,4,3,4,4,4,4,2.81
103,21,1,RUET,CE,1,30,180,5,"2,1",2,1,4,4,5,3,5,5,3,5,3,1,3,3,2,3,4,2,4,4,2,4,3,1,3,3,2,3,4,3,4,4,2,4,3,2,3,3,1,3,3,2,3,4,2,4,4,2,4,3,2,3,4,2,3,3,2,4,3,2,3,3,2,3,4,2,4,2.87
104,21,1,RUET,EEE,1,45,180,5,"2,1",0,2,3,3,4,3,4,4,3,4,4,3,5,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3.27
105,19,1,RUET,EEE,1,45,180,5,"2,1",0,2,3,3,5,2,5,4,1,4,2,1,2,2,2,3,2,1,2,2,1,2,2,1,2,3,1,2,4,1,3,4,1,3,3,3,3,3,1,3,3,1,3,3,1,2,2,1,2,2,1,2,3,3,3,2,1,2,2,1,2,1,1,1,1,1,1,3.42
106,21,1,RUET,EEE,1,45,180,5,"2,1",0,2,4,4,4,3,3,5,4,2,5,5,5,5,4,4,4,4,4,5,4,5,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,2,3,3,3,4,3,2,2,2,2,2,2,2,3
107,23,1,RUET,CE,1,25,65,5,"3,2",0,5,4,5,5,3,5,4,4,5,5,3,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,4,3,5,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,2.7
108,21,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,5,3,5,4,3,4,5,4,5,5,5,5,5,5,5,5,5,5,4,2,4,4,3,4,3,2,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3.56
109,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,3,5,4,3,4,5,4,5,5,3,5,5,5,5,5,5,5,4,2,3,5,3,4,4,3,3,5,4,3,5,3,3,5,5,5,5,5,5,3,3,3,4,3,4,5,3,4,4,3,4,3,3,3,5,5,5,3,2,3,4,4,4,3.5
110,23,1,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,3,4,4,2,4,4,4,3,4,2,4,5,4,4,4,4,4,5,2,4,5,4,4,5,2,4,4,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,2.9
111,23,1,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,2,4,5,2,4,5,1,3,2,1,2,4,1,1,5,2,5,3,1,2,4,1,4,5,1,3,5,5,5,3,1,3,5,3,5,5,3,5,5,3,5,5,3,5,5,2,5,5,2,5,5,2,5,5,3,5,5,5,5,4,2,4,3.79
112,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,1,3,3,5,3,5,5,5,1,1,1,5,5,5,5,5,5,1,1,1,3,1,3,1,1,1,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.63
113,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,1,3,3,5,3,5,5,5,1,1,1,5,5,5,5,5,5,1,1,1,3,1,3,1,1,1,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.43
114,22,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,3,4,4,2,3,5,2,3,4,2,4,4,3,4,4,3,4,4,2,4,4,2,4,3,2,3,4,3,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,2,4,4,3,5,3.21
115,22,1,HSTU,DS,1,5,39,3,"2,2",1,2,4,3,4,2,4,4,4,4,5,2,5,4,3,4,5,2,5,5,3,5,4,1,4,4,3,4,4,3,4,4,3,4,4,2,4,5,1,5,4,3,4,5,2,5,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,4,3,3,3,3.51
116,22,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,3,5,5,4,5,5,2,5,4,2,5,5,3,5,4,2,4,4,1,4,5,3,5,3,2,4,4,4,4,4,2,4,5,2,5,5,3,5,3,2,4,4,4,4,4,2,4,4,3,4,3,2,3,4,2,4,4,4,4,1,1,1,3
117,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,3,5,4,3,4,5,4,5,5,3,5,5,5,5,5,3,5,4,2,3,4,3,4,4,3,3,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,3.58
118,23,1,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,2,5,2,2,2,2,2,1,3,3,2,3,2,3,2,2,2,3,2,3,3,2,3,3,2,3,2,4,3,3,3,3,4,3,2,2,3,3,2,3,2,4,3,2,2,2,3,3
119,24,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,2,5,3,1,1,5,5,5,2,3,2,3,2,3,4,3,4,2,1,1,3,2,3,2,1,2,3,2,3,2,2,3,4,1,4,4,2,4,3,2,3,3,2,3,2,1,2,2,1,3,2,2,3,3,2,4,2,1,3,4,2,4,2.99
120,22,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,5,4,5,5,3,5,4,3,5,5,3,5,5,3,5,5,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,3
121,21,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,2,3,4,4,2,5,2,4,4,2,2,4,3,3,3,2,2,2,1,3,4,1,3,4,2,2,3,2,3,4,1,3,4,2,4,4,2,3,2,1,2,2,1,2,2,1,2,3,2,3,3,2,3,3,2,3,1,1,1,2,1,2,3
122,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,5,4,5,5,5,4,5,3,5,5,5,5,5,4,5,4,3,4,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.2
123,23,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,4,1,5,3,2,5,5,3,5,5,5,5,5,1,5,5,5,5,5,1,5,5,1,5,5,3,5,5,5,5,3,3,5,5,3,5,5,4,5,5,5,5,5,5,5,4,1,3,4,2,5,4,3,5,5,5,5,5,5,5,5,5,4,3.02
124,24,1,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,3,2,2,1,3,3,4,1,3,5,3,4,5,2,5,3,2,2,1,1,4,2,2,2,3,3,4,4,2,3,3,4,5,5,5,4,5,4,4,5,5,5,4,4,4,5,5,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,5,3.08
125,23,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,4,2,5,4,2,4,5,3,5,5,4,5,5,2,5,5,5,5,4,2,5,5,4,5,4,2,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,3,3,4,2,5,5,5,5,5,5,3,3.34
126,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,3,4,2,5,4,2,4,5,3,5,5,4,5,4,2,5,5,5,5,4,3,5,5,4,5,4,3,5,5,5,5,4,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,3,3,4,2,4,5,5,5,5,5,5,3.48
127,23,1,HSTU,DS,1,5,39,3,"2,2",1,2,3,4,4,2,4,3,2,4,5,3,3,4,3,3,4,4,4,4,4,4,2,2,4,3,2,4,4,3,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,4,5,3,4,4,3,5,1,1,1,1,1,1,4,4,5,4,3,4,3,3,4,3.09
128,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,3,3,4,3,3,4,5,5,4,5,5,5,4,4,5,5,5,3,1,1,5,5,3,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,3,5,5,4,5,5,4,5,3.11
129,21,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,2,5,5,2,5,4,3,5,4,3,4,5,3,5,5,4,5,1,1,4,4,3,5,4,2,5,5,4,5,4,3,5,5,5,5,4,4,5,3,2,4,5,5,5,4,3,4,4,3,5,5,5,5,5,4,5,5,5,5,2,1,2,3.61
130,24,1,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,4,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,3,3,3,2.8
131,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,2,5,5,5,5,5,4,5,4,4,4,4,3,4,5,2,5,4,2,4,3,2,4,3,2,3,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,3,5,3,3,3,4,2,4,5,5,5,5,5,5,5,4,5,5,3,5,3.3
132,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,4,5,3,5,5,3,5,5,2,5,5,4,5,5,4,5,5,5,5,4,3,4,5,4,5,4,2,5,5,3,5,4,4,4,5,4,4,5,4,5,5,3,5,5,3,5,5,3,4,5,5,5,5,5,5,5,4,5,4,3,5,4,2,4,2.84
133,22,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,3,2,3,3,2,3,2,2,2,2,2,2,4,3,4,3,2,3,1,1,1,1,1,1,2,2,2,4,4,4,1,1,2,3,1,3,2,1,2,4,2,4,2,1,2,3,1,2,2,1,2,3,1,3,2,2,2,3,3,3,1,1,1,3.15
134,23,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,2,3,1,2,2,1,2,3,1,2,3,1,2,2,1,2,2,1,2,1,1,1,1,1,1,4,3,2,1,1,1,2,2,2,3,2,3,3,3,2,2,2,2,3,3,3,2,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,3.06
135,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,4,4,2,4,4,2,4,5,5,5,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,3,1,3,4,4,4,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,3.55
136,25,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,5,4,3,4,3,2,3,4,2,4,4,3,4,5,4,5,4,4,4,4,1,1,4,2,1,3,3,3,4,4,4,3,2,3,5,4,5,4,4,4,4,4,4,4,4,4,5,3,4,3,2,4,4,3,4,3,3,4,4,4,4,4,4,4,3.47
137,25,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,1,2,1,3,1,1,2,4,3,5,3,3,3,5,5,5,3,3,3,1,1,1,2,1,3,1,1,3,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,3.2
138,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,3,4,2,3,3,3,4,4,1,3,3,1,3,3,2,2,4,1,2,2,1,4,3,3,4,4,2,4,5,3,5,3,2,2,4,2,5,4,2,4,4,1,4,3,1,3,3,2,3,4,1,4,4,2,4,3,2,3,4,3,4,2,1,1,3
139,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,2,4,1,3,2,1,2,4,1,3,3,2,2,2,3,2,3,1,2,2,1,1,1,1,1,2,1,1,3,3,3,3,2,4,2,1,3,3,3,2,2,1,2,3,1,3,3,2,3,2,3,3,3,3,2,4,2,3,3,2,2,1,1,1,3.58
140,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,4,4,4,5,4,5,4,5,5,5,4,4,4,5,5,5,4,3,5,2,1,3,3,2,4,2,1,3,4,3,4,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,1,1,2,1,1,1,1,1,1,5,4,5,4,3,3,5,4,4,3.15
141,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,5,4,4,2,3,2,3,3,2,2,2,1,2,1,4,3,3,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,3.61
142,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,3,2,3,2,3,2,3,1,3,3,3,3,4,3,4,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,4,3,4,4,3,4,2,1,2,3,2,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,3.36
143,23,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,2,5,1,3,5,1,2,5,3,4,5,3,5,4,2,4,5,3,4,4,1,2,5,2,3,4,1,3,4,3,3,5,4,5,5,5,5,4,2,3,3,3,3,4,2,4,4,2,4,4,2,4,5,3,5,4,1,4,3,3,3,1,1,1,3.06
144,23,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,4,3,4,3,2,3,4,2,4,4,2,4,4,2,4,5,3,5,4,1,1,4,2,3,3,1,3,4,3,4,4,3,4,4,2,4,5,3,4,4,3,4,4,2,4,2,1,2,3,1,2,4,2,3,4,1,3,4,2,4,4,1,3,3
145,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,2,2,4,1,2,4,2,1,4,4,4,3,1,3,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,2,3
146,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,3,4,4,4,3,2,5,5,4,5,5,4,4,5,4,4,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,4,5,3,2,1,2,3,1,1,2,1,4,4,4,1,1,1,2,2,3,2,4,4,3,3,2,1,1,1,2.99
147,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,4,3,1,2,4,1,3,5,4,5,4,3,4,5,4,5,5,4,5,1,1,1,1,1,1,2,1,2,3,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3,2,3,4,3,4,3,2,3,3,2,3,4,4,4,3,2,3,3,2,3,3.64
148,21,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,5,3,4,1,2,3,1,2,4,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,4,2,3,2,3,3,3,4,3,4,4,4,4,3,2,4,4,3,4,2,2,2,4,2,4,4,3,4,3.3
149,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,5,4,3,2,3,3,2,4,4,2,5,4,2,4,5,5,5,5,5,5,1,1,1,2,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,5,5,5,4,4,4,5,5,5,3,3,3,3,3,3,3.25
150,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,3,3,4,1,3,3,1,3,4,3,4,3,3,3,4,4,4,4,3,4,2,1,1,3,1,1,3,1,2,3,3,3,2,2,2,4,4,4,3,2,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3.4
151,23,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,4,1,3,4,1,2,5,1,3,4,1,2,4,2,4,4,3,4,4,1,3,4,1,3,4,1,4,4,3,3,3,1,2,4,2,3,4,2,3,4,1,4,3,1,2,3,1,3,3,1,2,4,1,4,4,1,4,3,2,2,2,1,1,2.96
152,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,4,4,2,4,4,1,3,4,4,4,3,1,2,5,5,5,4,4,4,4,1,1,4,1,2,3,1,4,5,5,5,3,1,3,5,5,5,4,3,4,4,4,4,4,3,4,4,2,4,5,3,5,5,5,5,4,4,4,4,4,4,3,3,3,3.16
153,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,4,4,2,2,4,1,1,4,4,4,3,1,1,4,3,4,4,4,4,4,1,1,4,1,2,2,2,2,4,4,4,2,2,2,4,4,3,4,2,2,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,4,4,4,4,4,3,2,3,3
154,23,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,4,2,3,3,1,2,4,4,4,3,2,3,4,2,3,3,2,3,1,1,1,1,1,1,4,3,2,3,2,2,2,1,1,3,3,3,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,3.52
155,24,2,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,4,2,3,4,1,2,4,4,4,4,3,3,4,4,4,4,3,4,3,1,1,1,1,1,5,3,3,3,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,3.52
156,23,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,5,4,4,3,4,4,2,4,4,1,3,5,2,4,4,1,3,4,2,4,2,1,2,3,1,3,4,3,4,5,4,5,4,3,4,4,3,4,5,4,4,4,3,4,4,2,4,2,1,2,2,1,2,3,1,2,4,1,3,3,2,3,2,1,1,3.4
157,24,1,HSTU,Marketing,1,7,78,5,"3,2",1,3,4,3,4,3,2,5,3,2,4,1,2,4,3,1,3,4,2,5,4,3,1,2,3,4,3,2,4,3,1,3,2,4,4,2,1,1,2,1,4,3,2,5,2,1,4,3,2,3,2,1,1,2,4,5,3,2,1,1,1,1,1,1,2,1,2,3.42
158,23,2,HSTU,Accounting,1,5,70,5,"3,2",1,3,4,4,4,2,3,4,2,3,3,2,2,4,2,3,2,1,2,3,2,3,3,1,1,3,2,2,3,1,3,4,1,3,2,1,1,3,2,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,3,2,2,4,2,3,3.52
159,24,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,3,3,3,2,2,3,1,2,4,3,4,1,1,1,3,1,3,3,2,3,2,1,1,3,1,1,3,1,2,2,1,2,1,1,1,2,1,3,2,1,2,2,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,3.25
160,22,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,2,1,3,1,2,3,1,2,5,2,4,5,1,3,5,1,3,5,1,3,4,2,1,1,1,1,2,1,1,3,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3.45
161,25,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,5,4,5,3,4,4,3,4,5,3,4,5,5,4,5,4,5,4,3,4,2,1,2,3,2,3,4,3,4,5,4,4,4,3,4,4,3,4,4,3,4,4,2,4,3,3,3,3,2,3,4,1,2,3,1,3,3,2,3,3,1,2,3,1,3,2.84
