Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
241,25,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,3,1,4,2,3,1,3,2,2,2,3,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
242,23,1,HSTU,Accounting,1,9,74,5,"3,2",1,4,4,4,4,4,1,3,5,3,1,4,2,5,3,4,2,2,5,3,1,5,3,2,3,3,1,2,3,2,3,4,4,4,1,2,3,1,5,3,5,5,5,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,5,5,5,4,4,4,5,5,5,3.41
243,22,2,HSTU,Accounting,1,6,70,5,"3,2",1,5,4,4,4,3,3,3,3,2,4,4,3,5,5,4,3,2,3,3,3,3,2,2,1,2,2,2,3,3,2,2,2,2,2,1,1,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,1,2,2,1,2,3,3,3,2,2,2,2,1,1,3
244,25,1,HSTU,Accounting,1,5,73,18,"3,2",1,4,4,4,3,1,2,4,3,1,5,3,5,5,4,2,4,2,3,3,2,3,2,4,4,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,4,2,4,4,4,3,2,2,2,3,2,3,1,2,2,1,2,3,2,3,2,2,3,3,1,2,3.01
245,21,1,HSTU,Sociology,1,6,115,6,"3,2",1,4,2,1,3,1,4,2,1,3,2,1,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.01
246,24,1,HSTU,Sociology,1,5,110,6,"3,2",1,4,4,4,3,2,2,4,1,2,3,1,3,4,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,2,1,2,4,3,4,3,1,2,3,2,4,1,1,2,2,1,3,3,1,4,1,1,1,4,3,4,3,4,4,5,5,5,3.15
247,23,1,HSTU,Sociology,1,5,105,5,"3,2",1,3,4,4,4,3,5,3,3,4,5,4,5,4,4,5,4,4,4,4,4,5,3,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,2,3,3,3,5,4,2,4,5,5,5,4,4,4,4,4,4,4,4,5,3,4,5,3.47
248,23,1,HSTU,Sociology,1,5,105,5,"3,2",1,4,4,4,4,3,5,3,3,4,5,5,5,4,5,5,5,4,5,2,1,2,3,1,3,4,1,3,2,2,2,3,3,4,2,1,3,5,3,5,4,3,5,5,5,5,5,4,5,4,3,5,4,3,4,3,2,4,4,3,4,4,3,5,4,5,5,3.25
249,23,1,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,3,3,1,4,2,1,3,5,3,5,4,2,5,3,2,4,3,1,5,2,1,4,2,2,5,2,1,4,3,1,5,2,2,4,3,1,4,3,2,4,4,3,5,3,1,4,3,1,4,3,2,5,5,5,5,4,3,5,5,5,5,5,3,5,3
250,25,1,HSTU,Sociology,1,5,116,6,"3,2",1,4,3,1,2,1,2,2,1,1,2,1,2,3,1,3,4,5,4,3,3,3,1,2,1,2,2,1,1,1,1,3,2,1,3,1,1,4,3,4,3,1,2,2,1,2,1,5,1,2,1,3,3,1,3,3,2,3,4,4,4,3,2,3,3,2,3,3.38
251,22,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,5,4,5,2,3,4,2,3,5,3,5,4,2,3,5,2,2,4,3,4,2,1,1,2,2,2,5,3,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,3,3,5,4,5,5,3,4,3.45
252,23,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,4,4,4,2,3,3,2,2,4,2,3,2,1,2,3,2,3,3,2,1,2,1,2,2,1,2,2,3,2,2,1,2,2,1,3,1,3,2,3,3,2,2,2,3,4,2,3,2,1,3,1,2,1,3,2,3,3,2,1,2,2,1,4,3,2,3.55
253,23,1,HSTU,Sociology,1,5,110,6,"3,2",2,3,4,4,3,2,3,2,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,4,3,2,3,3,2,3,3,2,3,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,3,1,4,3.05
254,23,2,HSTU,Sociology,1,6,113,6,"3,2",1,4,4,4,3,2,3,2,1,2,4,4,4,3,3,3,4,3,3,4,3,3,2,1,1,3,2,2,3,2,2,3,3,3,3,3,3,4,3,4,3,2,3,3,2,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3.28
255,23,2,HSTU,Sociology,1,6,106,6,"3,2",2,4,4,3,2,1,2,1,1,1,4,2,4,2,1,3,1,1,2,3,2,4,1,1,1,1,1,1,1,1,2,3,2,4,2,1,2,4,2,5,3,1,4,2,1,2,3,1,4,1,1,1,1,1,3,1,1,2,2,1,4,3,1,5,2,1,4,3.53
256,23,1,HSTU,Sociology,1,6,102,6,"3,2",1,4,4,3,1,1,2,1,1,1,4,4,4,3,3,3,4,3,4,3,3,3,1,1,2,3,3,4,3,2,3,4,4,4,3,2,3,4,3,4,4,4,5,4,4,5,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,2,3,3.3
257,23,2,HSTU,Sociology,1,6,100,6,"3,2",1,4,4,2,3,2,3,2,4,1,3,2,3,2,3,3,4,5,4,5,5,5,1,1,1,2,3,2,4,4,4,4,3,5,3,1,2,4,1,3,3,2,2,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,3,2,3,3.1
258,21,1,HSTU,ME,1,6,50,5,"3,1",1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,55,5,5,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2.64
259,25,1,BRUR,Economics,2,8,64,5,"5,2",2,7,1,1,5,5,5,3,2,4,4,2,3,3,2,3,4,3,4,4,3,5,4,3,4,4,3,4,3,2,3,2,1,2,4,2,4,3,2,3,4,3,4,3,2,3,4,3,4,4,3,3,3,2,3,4,4,4,4,3,4,3,3,3,2,3,2,3.31
260,24,1,BRUR,Economics,2,8,64,5,5.2,2,7,1,1,5,2,5,4,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3.23
261,23,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,3,1,5,3,1,5,5,1,5,5,1,5,4,1,5,5,1,5,2,1,5,3,1,5,3,1,5,4,1,5,5,1,5,5,1,5,4,1,5,4,1,5,5,1,5,3,1,5,3,1,5,4,1,5,4,1,5,4,2,5,5,1,5,3.47
262,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,3,1,4,3,1,5,5,1,5,4,1,5,4,1,4,5,4,5,2,1,5,3,2,5,3,1,5,5,1,5,5,1,5,5,3,4,4,1,3,4,1,3,4,1,3,3,2,4,3,1,5,4,1,5,4,2,5,5,2,3,5,1,5,3.33
263,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,4,2,5,3,1,5,4,2,4,4,1,4,5,1,2,4,1,4,3,1,5,3,1,5,4,2,5,4,2,4,3,1,2,4,2,3,4,3,4,3,1,2,4,3,4,3,1,2,3,1,3,4,3,4,3,2,4,4,2,4,4,2,3,3.45
264,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,4,1,5,2,1,4,4,1,4,4,1,4,3,1,3,4,1,4,3,1,5,3,1,5,3,1,5,3,1,3,3,1,4,5,1,5,4,1,5,4,1,5,4,1,4,3,1,3,4,1,5,5,1,5,4,1,5,3,1,4,3,1,4,3.27
265,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,2,5,1,4,4,1,3,3,1,4,4,1,5,5,1,5,5,1,5,4,1,4,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,3,5,4,2,5,4,1,4,4,1,5,4,4,5,4,1,4,5,4,5,5,2,5,3.2
266,22,2,BRUR,Socology,1,10,69,4,"3,2",1,4,2,3,5,2,4,4,2,4,5,3,4,5,2,5,5,2,5,4,2,4,3,1,4,5,2,5,5,3,5,4,3,4,4,2,4,4,3,5,4,4,4,4,2,4,4,3,4,3,2,3,3,2,3,3,2,3,4,3,4,4,3,4,3,1,4,3. 55
267,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,3,5,2,4,4,2,4,4,1,4,5,2,5,5,3,5,4,2,4,3,1,4,5,2,5,5,3,5,4,3,4,4,2,4,4,3,5,4,4,4,4,2,4,4,3,4,4,2,4,3,2,3,3,2,3,4,2,4,4,3,4,3,2,4,3.64
268,23,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,3,5,3,4,4,2,3,5,2,4,4,2,3,5,2,4,5,2,4,5,2,4,5,2,4,5,4,5,5,3,4,4,2,3,5,2,4,5,2,4,4,2,3,5,3,4,4,2,4,4,2,3,4,2,3,5,3,4,5,3,4,5,2,4,3.25
269,23,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,3,5,4,4,4,3,4,4,3,4,5,4,4,5,3,4,5,3,5,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,5,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.27
270,23,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,1,5,1,3,4,2,5,5,3,5,5,5,5,5,3,2,5,2,5,4,3,5,3,2,5,4,5,3,4,1,4,1,1,1,4,2,4,5,5,5,3,1,2,4,1,1,1,1,1,5,5,5,1,2,2,5,5,5,3,3,3,3,1,2,3.58
271,22,2,BRUR,Sociology,1,10,69,4,3.2,1,4,1,1,5,1,4,4,2,4,4,1,3,4,2,4,4,2,5,5,4,5,3,3,4,4,4,4,4,2,4,4,3,4,5,3,4,5,5,5,4,4,5,4,4,3,5,3,5,4,3,4,5,3,4,4,5,3,3,4,5,3,3,2,5,3,1,3.22
272,22,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,2,5,3,4,4,4,3,5,5,5,5,2,5,1,5,3,2,1,4,5,5,5,5,5,5,4,4,5,4,4,5,3,4,4,5,4,5,5,3,4,3,2,4,1,1,3,2,1,3,4,2,5,5,3,5,5,5,5,3,3,4,3,2,4,3.2
273,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,3,2,4,4,2,4,4,2,3,3,2,3,3,3,3,4,3,4,3,2,4,3,2,4,3,2,4,3,3,3,3,2,4,4,2,4,4,3,4,4,2,4,4,3,4,4,3,4,3,2,3,3,2,3,4,3,4,4,3,4,4,3,4,3.4
274,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,1,4,2,5,3,2,4,4,1,4,4,2,4,5,3,4,5,3,4,4,3,5,4,2,5,3,2,5,4,2,4,4,2,4,4,2,5,3,3,4,4,2,4,4,3,4,4,2,4,4,2,5,4,3,5,3,2,4,2,1,3,1,1,1,3.36
275,22,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,3,5,1,3,4,2,5,5,4,5,5,5,5,4,3,2,5,1,5,5,3,5,4,2,4,4,5,3,3,2,2,4,1,4,1,1,1,2,1,2,1,1,1,4,4,4,1,1,1,2,2,2,1,1,1,4,1,3,3,2,4,3,2,3,3. 45
276,22,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,1,3,1,4,3,1,5,5,2,5,4,4,5,1,5,3,5,4,5,3,5,5,5,5,5,4,4,5,4,4,5,3,3,3,4,4,5,4,3,5,2,2,4,3,2,5,2,4,4,3,4,5,2,2,5,5,5,5,4,2,4,3,3,4,3.45
277,23,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,3,3,1,3,2,1,2,4,2,3,3,1,3,1,2,2,2,1,2,1,2,3,1,1,2,2,1,4,2,2,3,3,2,3,3,3,5,3,2,3,3,3,4,4,3,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,3.2
278,22,2,BRUR,Socilology,1,10,69,4,"3,2",1,1,2,1,3,1,3,3,1,4,4,1,3,4,5,3,1,5,3,5,2,4,3,4,5,2,5,5,2,5,5,2,3,3,2,2,2,2,3,3,4,5,5,2,3,3,1,1,1,2,2,2,5,5,5,5,5,5,2,3,4,1,1,1,2,3,3,3.44
279,23,1,BRUR,Socilology,1,10,69,4,"3,2",1,1,2,1,3,1,3,3,1,4,5,2,5,3,4,3,1,5,3,5,4,5,3,4,5,2,5,5,2,5,5,2,3,3,2,2,2,2,3,3,4,5,5,2,3,5,1,1,1,1,1,1,3,5,5,4,5,5,2,3,4,1,1,2,1,1,1,3.33
280,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,3,3,3,4,5,3,3,3,2,3,2,3,5,4,2,4,3,4,4,4,3,3,5,3,2,5,3,5,4,3,4,4,4,4,5,2,2,2,4,2,3,3,3,2,2,1,2,1,1,2,1,1,1,1,1,1,4,2,3,4,1,3,1,4,4,3.21
281,24,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,1,2,4,5,3,4,4,4,3,4,3,4,5,3,4,5,4,3,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,5,5,3,3,4,2,3,4,2,3,4,2,1,1,2,2,2,4,3,4,3,3,3,1,3,3,3.29
282,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,5,3,4,4,4,3,5,5,5,3,3,3,5,2,5,4,3,4,3,5,5,5,5,5,3,5,5,5,5,5,4,3,4,5,2,4,5,3,4,5,2,5,3,1,4,4,3,4,5,5,5,4,3,4,4,3,4,3,3,3,5,3,5,3.29
283,23,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,3,3,3,2,3,2,2,2,3,2,3,3,3,3,3,1,3,2,2,2,2,2,5,2,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,3,2,3,3,2,3,2,2,2,3.21
284,23,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,5,2,4,3,2,3,4,2,3,3,2,3,4,3,4,4,3,4,1,2,4,1,2,4,2,3,4,3,3,3,3,2,3,4,3,4,4,3,4,3,2,3,3,2,3,2,1,2,3,2,3,3,3,3,4,2,3,3,2,3,3,1,3,3.38
285,23,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,1,3,1,3,3,1,5,5,1,5,5,5,5,1,5,2,5,2,5,4,5,5,5,5,5,3,3,5,2,2,2,1,1,1,3,4,4,3,5,5,2,2,5,1,1,1,1,1,1,2,5,5,2,5,5,2,2,2,1,2,2,1,1,1,3.32
286,23,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,2,5,3,4,5,2,5,5,3,5,4,1,4,5,4,5,5,4,4,3,2,5,4,3,5,4,2,5,5,4,5,3,3,4,5,4,5,5,4,4,5,3,5,4,2,5,3,2,5,4,3,5,4,4,5,5,4,5,5,5,5,4,3,4,3.36
287,22,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,3,3,3,1,3,5,5,5,4,5,5,5,5,5,2,5,3,3,2,3,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,3,3,3,1,1,1,2,3,3,5,5,5,5,5,5,5,5,5,3,3,3,2,2,2,3,3,3,5,5,5,3.4
288,21,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,4,2,4,3,2,4,4,1,5,3,1,4,4,1,4,4,2,4,4,2,5,5,5,5,5,4,5,5,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,2,5,5,3,5,5,2,3,3.3
289,24,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,3,4,2,4,5,1,3,4,2,4,3,2,3,3,3,2,5,2,5,5,3,4,5,3,3,4,3,4,4,4,4,4,2,2,4,2,3,4,2,3,4,1,3,4,2,4,3,1,2,3,2,3,4,2,3,5,3,4,3,1,2,3,1,2,2.97
290,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,5,2,5,5,5,5,5,2,5,5,5,5,2,2,2,5,4,5,3,1,5,5,5,5,4,2,4,5,5,5,5,4,5,5,5,5,5,4,5,5,2,5,5,2,5,5,4,5,5,5,5,5,5,5,5,2,5,4,2,4,4,2,4,3.57
291,21,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,1,5,4,3,4,2,3,5,4,4,4,3,3,5,4,3,5,4,4,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,4,5,5,3,5,5,3,5,5,4,5,5,4,5,5,4,5,4,3,3,3.31
292,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,1,5,2,4,5,1,4,5,1,3,5,1,4,5,1,4,5,1,3,5,2,4,5,2,5,5,1,4,5,2,5,5,1,4,5,1,5,5,2,5,5,1,4,5,1,5,5,2,5,5,3,4,5,1,4,5,1,3,5,1,4,4,1,3,3.57
293,22,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,1,4,3,4,4,3,4,4,2,4,4,3,4,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,3,3,3.39
294,23,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,3,3,4,1,4,1,1,4,4,1,4,4,3,4,3,3,4,4,2,3,5,5,5,5,5,5,5,5,5,3,2,3,2,1,2,4,2,3,3,2,3,2,1,2,2,2,2,4,2,3,2,1,2,3,2,4,2,1,3,1,1,1,1,1,1,3.4
295,21,2,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,3,4,3,4,3,2,4,4,2,4,3,1,3,4,1,4,3,2,4,4,5,5,5,5,5,4,2,4,4,3,4,3,3,3,4,2,3,4,3,4,2,1,3,4,4,4,3,3,3,3,3,3,3,3,4,3,2,4,3,3,3,2,1,3,3.17
296,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,4,4,3,5,3,4,5,3,4,3,4,5,4,3,5,5,4,5,5,4,5,4,3,4,4,2,4,4,3,4,3,2,3,4,3,4,4,3,4,4,3,4,3,2,3,4,3,4,5,4,5,5,4,5,3,2,3,4,3,4,4,3,4,3.27
297,21,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,2,2,4,3,4,4,4,4,4,3,5,4,2,3,3,1,4,4,3,4,4,4,5,4,4,5,4,3,4,3,2,4,3,1,3,4,2,4,4,3,5,3,2,4,3,3,4,3,1,4,4,1,3,3,1,4,4,3,5,4,2,4,3,3,4,3.25
298,21,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,3,3,4,2,3,4,2,3,5,1,5,5,2,5,5,1,3,5,2,4,2,4,4,2,4,5,3,4,4,3,2,4,1,1,1,1,1,1,3,2,3,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3.12
299,22,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,1,4,3,4,3,3,4,5,5,5,4,4,4,5,4,5,5,4,5,4,5,5,3,5,5,4,4,4,4,3,4,3,1,3,4,1,3,4,4,4,2,1,2,3,3,3,3,1,3,3,2,3,4,4,4,4,3,4,3,4,3,3,4,3,3.24
300,23,1,BRUR,Socilology,1,10,69,4,"3,2",1,4,1,2,4,1,3,3,2,3,4,1,3,4,1,4,3,1,1,4,3,4,3,3,5,5,5,5,5,2,5,5,5,5,4,1,4,5,2,5,4,4,5,5,2,5,5,5,5,4,2,3,5,2,5,5,5,5,5,5,5,5,3,5,5,4,5,3.35
301,22,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,4,3,5,4,3,4,4,3,4,4,4,5,3,3,4,4,4,5,4,3,4,5,5,5,5,2,5,5,4,5,4,3,4,5,2,5,5,4,5,4,3,5,5,4,5,3,2,4,5,5,5,4,3,4,4,3,5,4,3,4,3,2,4,3.18
302,20,1,BRUR,Sociology,1,8,65,4,"3,1",2,3,4,4,5,3,4,2,1,3,5,2,5,3,2,3,4,2,4,4,3,4,4,5,5,4,5,5,3,4,5,4,4,5,3,3,4,4,3,4,4,4,4,4,4,5,3,3,4,3,2,3,3,2,3,3,4,4,3,3,4,3,3,3,3,2,4,3.29
303,22,1,BRUR,Sociology,1,10,63,4,"3,1",2,3,3,3,3,2,3,2,1,2,3,1,2,3,2,3,4,1,4,2,1,2,1,4,5,5,5,5,3,2,3,2,2,2,2,2,3,3,2,3,4,4,4,3,2,3,2,1,3,3,2,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,3.19
304,22,1,BRUR,Sociology,1,8,65,4,"3,1",2,3,4,3,4,2,5,4,2,4,5,4,5,5,5,5,4,3,4,4,2,4,4,4,5,4,4,5,4,3,5,4,3,4,5,3,5,4,3,4,4,3,4,4,3,4,4,3,4,3,2,3,4,3,4,5,4,5,3,2,3,3,2,3,3,2,3,3.16
305,22,2,BRUR,Sociology,1,12,74,4,"3,1",4,2,4,4,5,4,5,4,3,5,5,3,5,4,4,5,4,3,4,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,4,3,5,4,3,5,2,1,4,4,3,4,3,2,4,4,3,5,5,2,5,3,2,5,4,3,4,4,3,5,3.57
306,21,1,BRUR,Sociology,1,12,63,4,"3,1",2,2,4,3,4,3,4,3,2,4,4,2,3,3,1,4,4,4,4,3,4,4,4,5,5,5,5,5,4,2,4,4,2,4,3,3,3,4,3,4,4,3,4,2,1,3,4,4,4,3,3,3,4,3,3,2,4,3,3,2,4,3,3,4,2,1,3,3.19
307,23,1,BRUR,English,1,8,74,6,"3,1",1,3,3,3,3,1,3,3,1,3,4,4,4,1,1,1,1,1,1,3,3,3,3,1,3,1,1,3,3,1,5,3,3,3,3,2,3,4,4,4,4,2,3,3,1,3,2,1,3,4,2,4,1,1,1,1,1,1,4,3,4,2,1,1,3,1,2,3.05
308,22,2,BRUR,English,1,8,74,6,"3,1",1,3,4,4,4,4,5,4,4,5,5,5,5,4,3,5,4,2,5,4,3,5,4,4,5,4,4,5,4,1,5,3,2,5,5,3,2,4,3,5,4,4,5,4,2,2,5,4,4,2,2,3,3,3,5,4,4,5,5,2,3,4,4,2,3,3,1,3
309,23,2,BRUR,English,1,8,74,6,"3,1",1,3,4,2,3,1,4,3,1,4,5,3,5,4,3,3,4,2,4,5,3,5,3,1,5,3,1,5,3,1,5,3,2,5,4,1,4,5,1,5,3,1,5,3,1,4,4,1,5,2,1,3,3,1,4,2,1,3,4,1,4,4,1,3,5,1,5,3.21
310,23,1,BRUR,English,1,8,74,6,"3,1",1,3,2,3,4,2,3,4,1,2,4,4,4,5,2,5,4,3,4,5,5,5,1,3,4,3,4,5,4,3,5,3,3,3,3,3,3,5,5,5,4,3,4,2,2,2,3,3,3,1,1,1,1,1,1,2,2,2,3,2,3,3,2,3,4,4,4,3.2
311,23,2,BRUR,English,1,8,74,6,"3,1",1,3,4,4,3,1,4,2,1,4,4,4,4,5,5,5,5,5,5,4,4,5,2,1,4,3,2,5,3,1,5,4,2,4,4,1,4,5,3,5,4,3,4,4,4,5,5,4,5,4,2,5,3,3,3,3,3,4,3,2,5,3,3,4,3,3,3,3.48
312,22,1,BRUR,English,1,8,74,6,"3,1",1,3,3,3,3,2,3,3,2,3,3,2,4,4,2,3,1,2,1,4,2,3,3,2,4,3,2,4,3,1,5,3,3,3,3,2,3,2,1,3,4,2,3,4,1,4,3,1,4,4,2,4,1,1,1,1,1,1,4,3,4,0,0,0,3,1,2,3.1
313,22,2,BRUR,English,1,8,74,5,"3,1",1,3,5,4,3,1,4,2,1,4,4,4,4,5,5,5,5,5,5,5,5,5,2,1,5,4,5,5,5,1,3,4,2,4,3,1,3,5,5,5,4,1,4,5,5,5,4,2,5,4,2,4,3,2,4,5,5,5,5,3,5,4,2,5,3,1,3,3.27
314,22,1,BRUR,English,1,8,76,6,"3,1",1,3,3,1,2,2,2,2,2,2,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,5,4,5,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.04
315,23,2,BRUR,English,1,8,74,6,"3,1",1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.27
316,23,1,BRUR,English,1,8,74,6,"3,1",2,3,4,4,5,2,5,5,3,5,4,3,4,5,5,5,4,4,5,5,5,5,2,4,5,3,4,5,4,4,5,4,5,5,5,5,5,3,3,3,5,5,5,3,2,4,3,3,4,4,4,4,3,4,4,4,4,5,3,2,4,3,3,3,1,1,1,3
317,22,2,BRUR,English,1,8,73,6,"3,1",1,3,4,4,4,2,4,3,4,4,4,3,5,3,3,5,4,4,5,5,4,5,2,3,5,2,3,4,3,3,4,3,3,4,3,2,4,4,2,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,4,3,5,3,2,4,3,2,4,3,2,4,3.25
318,22,2,BRUR,English,1,8,74,6,"3,1",1,3,5,5,3,4,5,3,4,4,5,3,5,1,1,1,5,5,5,5,4,5,3,5,5,3,5,5,3,5,5,3,5,5,1,1,1,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,4,3,3,3,1,1,1,3.2
319,22,2,BRUR,English,1,8,74,6,"3,1",1,3,5,5,4,3,5,3,2,5,5,4,5,4,2,4,5,2,5,5,3,5,3,3,5,4,3,5,4,1,5,3,2,5,4,3,4,5,3,5,4,2,5,4,1,4,5,1,5,4,2,5,5,4,5,4,3,5,5,3,5,4,3,5,4,3,5,3.1
